"MainID","E","tau"
1,5,1
56,1,1
57,3,2
58,1,1
59,2,2
60,1,1
61,2,1
64,1,1
65,3,1
1150,1,3
1153,1,1
1154,3,1
1155,3,2
1157,1,1
1158,1,1
1159,5,1
1161,5,1
1162,1,1
1163,1,1
1166,1,1
1169,2,1
1170,1,1
1173,3,2
1176,1,1
1178,1,1
1179,2,1
1180,3,1
1181,2,1
1182,4,1
1183,1,4
1184,2,3
1187,1,1
1188,1,5
1189,1,5
1211,1,3
1213,2,1
1347,1,1
1869,1,2
2721,5,1
2722,5,1
2726,1,1
2759,4,1
2770,1,4
2771,2,1
2772,1,1
2773,1,1
2775,1,1
2777,2,1
5019,3,3
5020,1,1
5021,4,1
5037,3,1
5039,3,2
6633,2,2
6635,3,1
5040,3,1
5043,1,5
5044,1,1
6104,4,6
6105,2,3
6106,4,6
6107,2,4
6109,3,1
6110,5,3
6111,6,1
6112,1,1
6114,3,4
6115,4,6
6116,6,3
6117,2,1
6118,6,3
6119,6,2
6120,5,2
6121,5,1
6122,6,4
6125,2,1
6126,5,1
6127,2,4
6128,1,1
6129,4,6
6130,6,1
6131,6,1
6132,5,2
6133,6,4
6134,6,2
6135,6,1
6136,5,3
6138,3,1
6139,6,4
6140,2,1
6141,6,1
6524,6,2
6525,5,1
6528,1,3
6529,3,1
6530,1,1
6768,1,1
6789,2,6
6791,2,1
6798,5,1
6801,1,1
6807,3,1
6820,6,4
6821,3,6
6822,6,4
6825,4,1
6832,6,6
6837,4,2
6848,4,6
6851,6,4
6859,6,1
6860,1,1
7065,5,3
9949,3,2
9950,3,1
9953,5,1
9955,3,1
9191,1,1
9192,1,1
9194,1,1
9200,1,1
9232,1,1
9338,1,2
9381,4,1
9382,2,1
9391,1,1
9393,2,1
9404,1,1
9469,1,1
9470,1,1
9488,2,1
9489,2,1
9490,3,1
9491,5,1
9492,3,1
9493,2,1
9494,2,1
9495,6,1
9496,4,1
9497,6,1
9498,1,1
9499,4,1
9500,3,1
9501,2,1
9502,6,1
9503,2,1
9517,2,6
9518,1,1
9519,6,1
9586,6,2
9598,6,1
9612,1,1
9643,2,1
9646,3,1
9685,4,2
9686,3,1
9688,1,1
9689,3,2
9690,3,1
9691,2,1
9791,1,4
9792,1,2
9793,2,4
9794,1,1
9795,1,1
9796,1,1
9797,1,1
9833,1,1
9834,2,1
9893,1,2
9894,1,2
9917,1,1
9918,1,1
9919,5,1
9920,2,2
9921,2,4
9923,2,3
