MainID,TaxonID,TaxonName,CommonName,TaxonomicPhylum,TaxonomicClass,TaxonomicOrder,Biome,Mass_g,Length_mm,MinAge_mo,Lifespan_mo,Fertility,TrL,Notes,Size_other,GT_other
1,1,Bonasa bonasia,Hazel grouse,Chordata,Aves,Galliformes,Terrestrial,429,375,10,60,8,3,,,
56,9,Haematopus ostralegus,Eurasian oystercatcher,Chordata,Aves,Charadriiformes,Terrestrial,526,440,36,240,3,5,,,
57,61,Anthus pratensis,Meadow pipit,Chordata,Aves,Passeriformes,Terrestrial,18,145,12,84,8,4,,,
58,62,Oenanthe oenanthe,Wheatear,Chordata,Aves,Passeriformes,Terrestrial,23,150,12,84,12,4,,,
59,63,Alauda arvensis,Skylark,Chordata,Aves,Passeriformes,Terrestrial,40,180,12,120,15,4,,,
60,64,Sturnus vulgaris,Starling,Chordata,Aves,Passeriformes,Terrestrial,82,220,10,84,12,4,,,
61,65,Vanellus vanellus,Lapwing,Chordata,Aves,Charadriiformes,Terrestrial,219,300,12,216,4,5,,,
64,68,Corvus corone,Carrion crow,Chordata,Aves,Passeriformes,Terrestrial,570,435,24,180,5,4,,,
65,69,Prunella modularis,Hedge sparrow or Dunnock,Chordata,Aves,Passeriformes,Terrestrial,19.7,140,12,72,10,4,,,
1150,162,Coccyzus americanus,Yellow billed cuckoo,Chordata,Aves,Cuculiformes,Terrestrial,64,265,6,81,5,5,,,
1153,165,Colaptes auratus,Common flicker,Chordata,Aves,Piciformes,Terrestrial,132,320,10,84,12,4,,,
1154,166,Melanerpes carolinus,Red-bellied woodpecker,Chordata,Aves,Piciformes,Terrestrial,62,240,10,96,10,4,,,
1155,167,Melanerpes erythrocephalus,Red-headed woodpecker,Chordata,Aves,Piciformes,Terrestrial,71.6,240,12,96,10,4,,,
1157,169,Picoides pubescens,Downy woodpecker,Chordata,Aves,Piciformes,Terrestrial,27,170,10,96,10,4,,,
1158,170,Myiarchus crinitus,Great crested flycatcher,Chordata,Aves,Passeriformes,Terrestrial,33.5,200,12,108,8,5,,,
1159,171,Contopus virens,Eastern wood-pewee,Chordata,Aves,Passeriformes,Terrestrial,14,160,12,60,6,5,,,
1161,173,Corvus brachyrhynchos.,Common crow or American crow,Chordata,Aves,Passeriformes,Terrestrial,448,450,24,180,5,4,,,
1162,174,Parus bicolor,Tufted titmouse,Chordata,Aves,Passeriformes,Terrestrial,21.6,135,12,72,10,3,,,
1163,175,Troglodytes aedon,House wren,Chordata,Aves,Passeriformes,Terrestrial,10.9,120,10,84,12,4,,,
1166,64,Sturnus vulgaris,Starling,Chordata,Aves,Passeriformes,Terrestrial,82,220,10,84,12,4,,,
1169,183,Cardinalis cardinalis,Cardinal,Chordata,Aves,Passeriformes,Terrestrial,45,220,12,96,7,4,,,
1170,184,Passerina cyanea,Indigo bunting,Chordata,Aves,Passeriformes,Terrestrial,14.5,140,12,96,5,3,,,
1173,187,Phasianus colchicus,Ring-necked pheasant,Chordata,Aves,Galliformes,Terrestrial,1135,700,10,96,12,4,,,
1176,166,Melanerpes carolinus,Red-bellied woodpecker,Chordata,Aves,Piciformes,Terrestrial,62,240,10,96,10,4,,,
1178,168,Picoides villosus,Hairy woodpecker,Chordata,Aves,Piciformes,Terrestrial,66,240,12,84,8,4,,,
1179,169,Picoides pubescens,Downy woodpecker,Chordata,Aves,Piciformes,Terrestrial,27,170,10,96,10,4,,,
1180,172,Cyanocitta cristata,Blue jay,Chordata,Aves,Passeriformes,Terrestrial,86.8,280,12,108,8,4,,,
1181,173,Corvus brachyrhynchos.,Common crow or American crow,Chordata,Aves,Passeriformes,Terrestrial,448,450,24,180,5,4,,,
1182,174,Parus bicolor,Tufted titmouse,Chordata,Aves,Passeriformes,Terrestrial,21.6,135,12,72,10,3,,,
1183,188,Sitta carolinensis,White-breasted nuthatch,Chordata,Aves,Passeriformes,Terrestrial,21,150,12,72,10,5,,,
