MainID,RQA,PE
1,not chaotic,chaotic
56,not chaotic,chaotic
57,not chaotic,chaotic
58,chaotic,chaotic
59,not chaotic,not chaotic
60,chaotic,not chaotic
61,chaotic,chaotic
64,not chaotic,chaotic
65,not chaotic,not chaotic
1150,not chaotic,chaotic
1153,not chaotic,chaotic
1154,chaotic,not chaotic
1155,chaotic,chaotic
1157,not chaotic,not chaotic
1158,not chaotic,chaotic
1159,not chaotic,not chaotic
1161,not chaotic,not chaotic
1162,not chaotic,chaotic
1163,not chaotic,chaotic
1166,chaotic,not chaotic
1169,not chaotic,chaotic
1170,not chaotic,not chaotic
1173,not chaotic,chaotic
1176,not chaotic,not chaotic
1178,chaotic,chaotic
1179,not chaotic,not chaotic
1180,not chaotic,not chaotic
1181,chaotic,not chaotic
1182,not chaotic,not chaotic
1183,not chaotic,not chaotic
1184,not chaotic,chaotic
1187,not chaotic,not chaotic
1188,not chaotic,not chaotic
1189,not chaotic,not chaotic
1211,not chaotic,chaotic
1213,not chaotic,chaotic
1347,chaotic,not chaotic
1869,not chaotic,chaotic
2721,not chaotic,chaotic
2722,not chaotic,not chaotic
2726,not chaotic,not chaotic
2759,not chaotic,not chaotic
2770,not chaotic,not chaotic
2771,not chaotic,chaotic
2772,chaotic,not chaotic
2773,chaotic,chaotic
2775,chaotic,not chaotic
2777,chaotic,chaotic
5019,not chaotic,chaotic
5020,not chaotic,chaotic
5021,not chaotic,not chaotic
5037,chaotic,chaotic
5039,not chaotic,not chaotic
6633,not chaotic,chaotic
6635,not chaotic,not chaotic
5040,chaotic,chaotic
5043,chaotic,not chaotic
5044,chaotic,chaotic
6104,chaotic,chaotic
6105,chaotic,chaotic
6106,chaotic,chaotic
6107,chaotic,chaotic
6109,not chaotic,chaotic
6110,chaotic,not chaotic
6111,not chaotic,chaotic
6112,not chaotic,chaotic
6114,not chaotic,chaotic
6115,chaotic,chaotic
6116,not chaotic,chaotic
6117,chaotic,chaotic
6118,not chaotic,chaotic
6119,not chaotic,chaotic
6120,chaotic,chaotic
6121,chaotic,not chaotic
6122,chaotic,chaotic
6125,chaotic,not chaotic
6126,not chaotic,chaotic
6127,chaotic,not chaotic
6128,chaotic,not chaotic
6129,not chaotic,not chaotic
6130,chaotic,not chaotic
6131,chaotic,chaotic
6132,not chaotic,not chaotic
6133,not chaotic,chaotic
6134,not chaotic,chaotic
6135,chaotic,chaotic
6136,not chaotic,chaotic
6138,chaotic,not chaotic
6139,not chaotic,not chaotic
6140,chaotic,not chaotic
6141,not chaotic,not chaotic
6524,chaotic,not chaotic
6525,chaotic,not chaotic
6528,chaotic,not chaotic
6529,not chaotic,not chaotic
6530,not chaotic,chaotic
6768,not chaotic,chaotic
6789,chaotic,not chaotic
6791,chaotic,not chaotic
6798,chaotic,chaotic
6801,chaotic,not chaotic
6807,chaotic,chaotic
6820,not chaotic,not chaotic
6821,chaotic,not chaotic
6822,chaotic,chaotic
6825,chaotic,not chaotic
6832,not chaotic,chaotic
6837,not chaotic,not chaotic
6848,not chaotic,not chaotic
6851,not chaotic,not chaotic
6859,chaotic,chaotic
6860,chaotic,not chaotic
7065,not chaotic,not chaotic
9949,chaotic,chaotic
9950,chaotic,chaotic
9953,chaotic,chaotic
9955,chaotic,not chaotic
9191,not chaotic,not chaotic
9192,chaotic,not chaotic
9194,not chaotic,not chaotic
9200,not chaotic,not chaotic
9232,chaotic,chaotic
9338,not chaotic,chaotic
9381,not chaotic,chaotic
9382,not chaotic,not chaotic
9391,chaotic,not chaotic
9393,chaotic,not chaotic
9404,chaotic,chaotic
9469,chaotic,not chaotic
9470,chaotic,not chaotic
9488,not chaotic,not chaotic
9489,not chaotic,chaotic
9490,not chaotic,chaotic
9491,not chaotic,chaotic
9492,not chaotic,chaotic
9493,chaotic,chaotic
9494,chaotic,chaotic
9495,not chaotic,not chaotic
9496,chaotic,chaotic
9497,not chaotic,not chaotic
9498,chaotic,chaotic
9499,not chaotic,chaotic
9500,not chaotic,chaotic
9501,chaotic,chaotic
9502,not chaotic,not chaotic
9503,not chaotic,chaotic
9517,not chaotic,not chaotic
9518,not chaotic,not chaotic
9519,not chaotic,chaotic
9586,not chaotic,not chaotic
9598,chaotic,chaotic
9612,chaotic,not chaotic
9643,chaotic,not chaotic
9646,not chaotic,chaotic
9688,chaotic,not chaotic
9689,chaotic,not chaotic
9690,not chaotic,chaotic
9691,chaotic,chaotic
9791,not chaotic,not chaotic
9792,not chaotic,not chaotic
9793,not chaotic,not chaotic
9794,not chaotic,chaotic
9795,not chaotic,chaotic
9796,not chaotic,chaotic
9797,not chaotic,chaotic
9833,chaotic,chaotic
9834,chaotic,not chaotic
9893,not chaotic,not chaotic
9894,not chaotic,chaotic
9917,not chaotic,chaotic
9918,not chaotic,not chaotic
9919,chaotic,not chaotic
9920,not chaotic,chaotic
9921,chaotic,not chaotic
9923,not chaotic,not chaotic
