"MainID","R2abund","R2gr","predictable_ag","modelform","E","tau","theta","LEmean","LEmin","LEmin_mo","LEmin_gen","LEclass","LEmin1d","LEclass1d"
1,0.397004947860807,0.191558987601628,"a","gr-ut",5,1,0,-0.117292162397476,-0.137900304726848,-0.0114916920605707,-0.114916920605707,"not chaotic",-1.44547651875026,"not chaotic"
56,0.439738700516934,0.0600856303755984,"a","gr-ut",1,1,0,-0.396767721932904,-0.400420656315263,-0.0333683880262719,-1.20126196894579,"not chaotic",-0.400420656315263,"not chaotic"
57,0.522411675686907,0.390850619485604,"ag","fd-ut",3,2,2,-0.102311012450156,-0.108570399891005,-0.00904753332425039,-0.108570399891005,"not chaotic",-0.300542740372525,"not chaotic"
58,0.706209637725555,0.0477277025694063,"a","fd-ut",1,1,1,-0.179794785301304,-0.186304353357716,-0.0155253627798097,-0.186304353357716,"not chaotic",-0.186304353357716,"not chaotic"
59,0.946216394404169,0.644306519979766,"ag","fd-ut",2,2,8,0.131525733882958,0.11980500286842,0.009983750239035,0.11980500286842,"chaotic",-0.0378545903377937,"not chaotic"
60,0.956996036239759,-0.0492469919164784,"a","gr-ut",1,1,0,-0.000261202531439563,-0.00925479125866691,-0.000771232604888909,-0.00771232604888909,"not chaotic",-0.00925479125866691,"not chaotic"
61,0.687699915001083,0.291881182977899,"ag","gr-log",2,1,4,-0.233957672667834,-0.257173336051622,-0.0214311113376352,-0.257173336051622,"not chaotic",-0.218101685623661,"not chaotic"
64,0.176917725240958,0.143268028089875,"none","fd-ut",1,1,0,-0.642896318600036,-0.646316593744252,-0.0538597161453543,-1.2926331874885,"not chaotic",-0.646316593744252,"not chaotic"
65,0.836389212754537,0.121646171955619,"a","gr-log",3,1,8,0.0719792464110967,0.0568413226885264,0.00473677689071053,0.0568413226885264,"chaotic",-0.0496416543260106,"not chaotic"
1150,0.0342922453787331,0.503714048211688,"g","fd-ut",1,3,1.5,-0.558541136050656,-0.578248970923324,-0.0481874142436104,-0.289124485461662,"not chaotic",-0.578248970923324,"not chaotic"
