"Site","Name","R2abund","R2gr","predictable_ag","modelform","E","tau","theta","JLE","JLEsign"
"Lake Geneva","Asplanchna priodonta",0.210627866376377,0.554880918942956,"ag","fd-ut",3,1,8,0.433444752586886,"chaotic"
"Lake Geneva","Bythotrephes longimanus",0.769831454794922,0.597307814265709,"ag","gr-log",5,5,6,0.101067303829993,"chaotic"
"Lake Geneva","Cyclops prealpinus",0.230015716904636,0.239124829228016,"ag","fd-ut",1,1,0.1,-0.565334594932929,"not chaotic"
"Lake Geneva","Cyclops sp",0.455696268811337,0.717683327893316,"ag","fd-ut",3,4,0,-0.0263630845478275,"not chaotic"
"Lake Geneva","Cyclops vicinus",0.544756623648799,0.812686088365805,"ag","fd-ut",4,4,4,-0.00337976432669775,"not chaotic"
"Lake Geneva","Eubosmina longispina",0.655234968024107,0.42406263096062,"ag","gr-ut",6,1,1.5,0.108351049529244,"chaotic"
"Lake Geneva","Eudiaptomus gracilis",0.286661124075075,0.676966055293475,"ag","fd-ut",5,6,0.5,-0.0167671261476524,"not chaotic"
"Lake Geneva","Kellicottia longispina",0.235277844067024,0.340481698613477,"ag","fd-ut",3,1,0.75,-0.121593429441249,"not chaotic"
"Lake Geneva","Keratella cochlearis",0.197685394134767,0.486709603948193,"g","fd-ut",6,1,2,0.199947794554524,"chaotic"
"Lake Geneva","Keratella quadrata",0.128122419204733,0.702553196033262,"g","fd-ut",5,4,4,0.0406904794689138,"chaotic"
"Lake Geneva","Leptodora kindtii",0.208927342905997,0.700471956801793,"ag","gr-ut",4,1,3,0.394185287233773,"chaotic"
"Lake Geneva","Polyarthra sp",0.228187322755268,0.709668868731517,"ag","fd-ut",5,6,0.5,-0.000473270416193786,"not chaotic"
"Lake Geneva","Synchaeta sp",0.155188805840413,0.589361417647064,"g","fd-ut",6,4,1.5,-0.000952813126692301,"not chaotic"
"Lake Zurich","Bosmina.sp",0.358731143718433,0.793553542587193,"ag","fd-ut",4,3,0,-0.035307846149681,"not chaotic"
"Lake Zurich","Bytho.long",0.138545359717677,0.641915463481943,"g","fd-ut",1,5,6,0.149448078188098,"chaotic"
"Lake Zurich","Cyclo.abyss",0.138893470992973,0.581879887929293,"g","fd-ut",3,4,1.5,-0.0892530681012615,"not chaotic"
"Lake Zurich","Cyclo.bohat",0.0170352387533422,0.550441981900673,"g","fd-ut",1,3,1.5,0.0803455392907161,"chaotic"
"Lake Zurich","Cyclo.vicin",0.119717181415207,0.436517739238735,"g","fd-ut",1,1,0.75,0.0172171682989385,"chaotic"
"Lake Zurich","Daphn.hyali",0.0738341349072513,0.503445227917583,"g","gr-log",6,3,3,0.0171272408576542,"chaotic"
"Lake Zurich","Daphn.pulex",0.424355155704755,0.734444395684311,"ag","fd-ut",2,6,0,-0.0327016553378359,"not chaotic"
"Lake Zurich","Eudiapt.graci",0.0662992215802746,0.607414235663088,"g","fd-ut",2,6,0.3,-0.0847816327026461,"not chaotic"
"Lake Zurich","Mesoc.edax",0.227440919679094,0.232617837460118,"ag","fd-ut",1,1,0.1,-0.539386643932838,"not chaotic"
"Oneida Lake","Bosmina longirostris",0.175511915599713,0.163088909258247,"none","fd-ut",1,1,0.5,0.231693307931651,"chaotic"
"Oneida Lake","Chydorus sphaericus",0.367038364698967,0.59934925823924,"ag","fd-ut",2,1,8,1.6393994086878,"chaotic"
"Oneida Lake","Daphnia mendotae",0.408027380102804,0.377032592248375,"ag","fd-ut",2,1,1.5,-0.137435584255287,"not chaotic"
"Oneida Lake","Daphnia pulicaria",0.447245676048626,0.326455394168602,"ag","fd-ut",2,1,1.5,0.0876607697541791,"chaotic"
"Oneida Lake","Daphnia retrocurva",0.108100339539427,0.52256089171552,"g","gr-ut",2,1,0.1,0.101884335574068,"chaotic"
"Oneida Lake","Diacyclops thomasi",0.265127650226992,0.654135178732656,"ag","fd-ut",2,1,1.5,-0.49345976726162,"not chaotic"
"Oneida Lake","Diaphanosoma sp.",0.29509180429373,0.400160484236814,"ag","fd-ut",2,1,1.5,0.578011846011088,"chaotic"
"Oneida Lake","Epischura lacustris",0.436757224538914,0.356074779873411,"ag","fd-ut",2,1,0.5,-0.350159828766212,"not chaotic"
"Oneida Lake","Eubosmina coregoni",0.195481924905053,0.350499162478769,"g","gr-ut",2,1,0.1,0.283075959303196,"chaotic"
"Oneida Lake","Leptodiaptomus minutus",0.55642313512496,0.227807736662095,"ag","fd-ut",2,1,0.3,-0.625728662559748,"not chaotic"
"Oneida Lake","Mesocyclops edax",0.445097547963741,0.240378623012645,"ag","fd-ut",2,1,0.1,-0.688157202534375,"not chaotic"
"Oneida Lake","Skistodiaptomus oregonensis",0.496191949357532,0.120565933152979,"a","fd-ut",1,1,0.5,-0.13247228280583,"not chaotic"
