Site,Name,Group,JLEsign,TaxonomicClass3,Drymass_ug,Mass_ug,Mass_g,Length_mm,Gentime_d,MinAge_mo,Lifespan_mo,Reference mass,Mass notes,Reference gen time,Gen time notes
Oneida Lake,Bosmina longirostris,cladocera,chaotic,Zooplankton,4,20,2.00E-05,0.5,3,0.1,,Dumont et al 1975, wet:dry 20%,https://doi.org/10.1016/0166-445X(94)00094-7,
Oneida Lake,Chydorus sphaericus,cladocera,chaotic,Zooplankton,8,40,4.00E-05,0.55,8.94,0.298,,Dumont et al 1975, wet:dry 20%,,
Lake Zurich,Daphn.hyali,cladocera,chaotic,Zooplankton,30,150,1.50E-04,1.2,8,0.267,,Geller Muller 1985,,https://doi.org/10.1007/BF00032014,
Oneida Lake,Daphnia pulicaria,cladocera,chaotic,Zooplankton,,,5.00E-05,,7.07,0.236,,Anderson Gillooly 2017,,,
Oneida Lake,Daphnia retrocurva,cladocera,chaotic,Zooplankton,8.418,42.092,4.21E-05,1.25,7,0.233,,Rosen 1981,,,used value for other daphnia
Oneida Lake,Diaphanosoma sp.,cladocera,chaotic,Zooplankton,1.843,9.214,9.21E-06,0.8,6,0.2,,Rosen 1981,,https://doi.org/10.1111/j.1365-2427.2007.01733.x,
Oneida Lake,Eubosmina coregoni,cladocera,chaotic,Zooplankton,4,20,2.00E-05,0.5,3,0.1,,used value for Bosmina,,,
Lake Geneva,Eubosmina longispina,cladocera,chaotic,Zooplankton,4,20,2.00E-05,0.5,3,0.1,,used value for Bosmina,,,
Lake Zurich,Cyclo.bohat,copepoda,chaotic,Zooplankton,,23.03,2.30E-05,1,27.3,0.91,,used value for other cyclops,,,
Lake Zurich,Cyclo.vicin,copepoda,chaotic,Zooplankton,,23.03,2.30E-05,1,27.3,0.91,,,,Gillooly 2000,
Lake Geneva,Asplanchna priodonta,rotifer,chaotic,Zooplankton,0.5,12.5,1.25E-05,,7.5,0.25,,Dumont et al 1975, wet:dry 4%,,
