"ID","Model","Classification","ObsNoise","ProcessNoise","TSlength","SimNumber","E","tau","theta","R2","modelform","LEmean","LEmin","LEreg","LEreg_se","Classification2","LEregmin","LEregclass","LEclass"
1,"SeasonalPredatorPrey","periodic",0.01,0,100,"Sim.1",4,1,0,0.999998819262247,"gr-ut",0.0147253839354377,-0.00459842255474764,0.333828153292565,0.0292499298603178,"not chaotic",0.276498290766342,"chaotic","not chaotic"
2,"SeasonalPredatorPrey","periodic",0.01,1,100,"Sim.1",6,1,1.5,0.987920518642625,"gr-ut",0.00833304101360065,-0.00905685797938809,0.232740451881938,0.0197466219418731,"not chaotic",0.194037072875867,"chaotic","not chaotic"
3,"SeasonalPredatorPrey","periodic",0.01,2,100,"Sim.1",2,1,8,0.975177641411586,"gr-ut",-0.225150836772726,-0.256466000989083,0.441165099467783,0.112034674635438,"not chaotic",0.221577137182325,"chaotic","not chaotic"
4,"SeasonalPredatorPrey","periodic",0.01,3,100,"Sim.1",2,1,6,0.926022053302858,"ut-ut",-0.0174594460827464,-0.039105302197747,0.448834389317291,0.105702041870891,"not chaotic",0.241658387250345,"chaotic","not chaotic"
5,"SeasonalPredatorPrey","periodic",0.1,0,100,"Sim.1",4,1,0,0.999765041823787,"gr-ut",0.013234044367699,-0.00530838559637874,0.30857740623007,0.0446854549156038,"not chaotic",0.220993914595487,"chaotic","not chaotic"
6,"SeasonalPredatorPrey","periodic",0.1,1,100,"Sim.1",3,1,4,0.985841615312761,"gr-ut",-0.00709722149373717,-0.0445249722702513,0.400724840033791,0.0645591075061153,"not chaotic",0.274188989321805,"chaotic","not chaotic"
7,"SeasonalPredatorPrey","periodic",0.1,2,100,"Sim.1",6,3,1,0.955638759677464,"gr-log",0.028056342378597,0.0214836624693991,0.104314981232537,0.1580534283575,"not chaotic",-0.205469738348162,"not chaotic","chaotic"
8,"SeasonalPredatorPrey","periodic",0.1,3,100,"Sim.1",2,1,6,0.944050208935647,"gr-ut",-0.127695970952484,-0.153719279652976,0.476213663953745,0.0937164183773424,"not chaotic",0.292529483934154,"chaotic","not chaotic"
9,"SeasonalPredatorPrey","periodic",0.2,0,100,"Sim.1",4,1,0,0.999375083365812,"gr-ut",0.010336886461614,-0.0119172173386977,0.279924610109199,0.024778825422968,"not chaotic",0.231358112280182,"chaotic","not chaotic"
10,"SeasonalPredatorPrey","periodic",0.2,1,100,"Sim.1",2,1,8,0.985038389498438,"gr-ut",-0.301036600194145,-0.329422786842108,0.440330228708851,0.0992718254540194,"not chaotic",0.245757450818973,"chaotic","not chaotic"
11,"SeasonalPredatorPrey","periodic",0.2,2,100,"Sim.1",4,1,4,0.959262423121178,"ut-ut",0.134153992063621,0.11576232884451,0.334141350809342,0.00935238801059791,"not chaotic",0.31581067030857,"chaotic","chaotic"
12,"SeasonalPredatorPrey","periodic",0.2,3,100,"Sim.1",5,1,4,0.920887578572396,"gr-ut",-0.129958724520684,-0.152073851670242,0.165979220399159,0.00295889715804146,"not chaotic",0.160179781969398,"chaotic","not chaotic"
13,"SeasonalPredatorPrey","periodic",0.3,0,100,"Sim.1",4,1,0,0.997916375617461,"gr-ut",0.0124625004119358,-0.00630599009785396,0.358656677071052,0.0366893644531308,"not chaotic",0.286745522742915,"chaotic","not chaotic"
