ID,SimNumber,RQAclass,PEclass,HVAclass,DTclass
1,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
2,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
3,Sim.1,chaotic,not chaotic,not chaotic,not chaotic
4,Sim.1,chaotic,not chaotic,not chaotic,chaotic
5,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
6,Sim.1,chaotic,not chaotic,not chaotic,not chaotic
7,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
8,Sim.1,chaotic,not chaotic,not chaotic,chaotic
9,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
10,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
11,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
12,Sim.1,chaotic,not chaotic,not chaotic,chaotic
13,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
14,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
15,Sim.1,not chaotic,not chaotic,not chaotic,chaotic
16,Sim.1,chaotic,not chaotic,not chaotic,chaotic
17,Sim.1,chaotic,chaotic,not chaotic,chaotic
18,Sim.1,not chaotic,chaotic,not chaotic,chaotic
19,Sim.1,chaotic,chaotic,not chaotic,not chaotic
20,Sim.1,chaotic,chaotic,not chaotic,not chaotic
21,Sim.1,not chaotic,chaotic,not chaotic,not chaotic
22,Sim.1,chaotic,chaotic,not chaotic,not chaotic
23,Sim.1,chaotic,chaotic,not chaotic,not chaotic
24,Sim.1,chaotic,chaotic,not chaotic,not chaotic
25,Sim.1,chaotic,chaotic,not chaotic,not chaotic
26,Sim.1,chaotic,chaotic,not chaotic,not chaotic
27,Sim.1,not chaotic,chaotic,not chaotic,not chaotic
28,Sim.1,chaotic,chaotic,not chaotic,not chaotic
29,Sim.1,chaotic,chaotic,not chaotic,not chaotic
30,Sim.1,chaotic,chaotic,not chaotic,not chaotic
31,Sim.1,chaotic,chaotic,not chaotic,not chaotic
32,Sim.1,not chaotic,chaotic,not chaotic,not chaotic
33,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
34,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
35,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
36,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
37,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
38,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
39,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
40,Sim.1,chaotic,not chaotic,not chaotic,not chaotic
41,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
42,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
43,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
44,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
45,Sim.1,chaotic,not chaotic,not chaotic,not chaotic
46,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
47,Sim.1,not chaotic,not chaotic,chaotic,not chaotic
48,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
49,Sim.1,chaotic,chaotic,chaotic,chaotic
50,Sim.1,chaotic,chaotic,chaotic,chaotic
51,Sim.1,chaotic,chaotic,not chaotic,chaotic
52,Sim.1,chaotic,chaotic,chaotic,not chaotic
53,Sim.1,chaotic,chaotic,chaotic,chaotic
54,Sim.1,not chaotic,chaotic,chaotic,chaotic
55,Sim.1,chaotic,chaotic,chaotic,chaotic
56,Sim.1,not chaotic,chaotic,chaotic,chaotic
57,Sim.1,chaotic,chaotic,chaotic,chaotic
58,Sim.1,chaotic,chaotic,chaotic,chaotic
59,Sim.1,chaotic,chaotic,chaotic,chaotic
60,Sim.1,not chaotic,chaotic,chaotic,chaotic
61,Sim.1,not chaotic,chaotic,chaotic,chaotic
62,Sim.1,not chaotic,chaotic,chaotic,chaotic
63,Sim.1,not chaotic,chaotic,chaotic,not chaotic
64,Sim.1,chaotic,chaotic,chaotic,not chaotic
65,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
66,Sim.1,chaotic,not chaotic,not chaotic,not chaotic
67,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
68,Sim.1,chaotic,not chaotic,not chaotic,not chaotic
69,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
70,Sim.1,not chaotic,chaotic,not chaotic,not chaotic
71,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
72,Sim.1,chaotic,not chaotic,not chaotic,not chaotic
73,Sim.1,not chaotic,chaotic,not chaotic,not chaotic
74,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
75,Sim.1,not chaotic,chaotic,not chaotic,not chaotic
76,Sim.1,not chaotic,chaotic,not chaotic,not chaotic
77,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
78,Sim.1,not chaotic,chaotic,not chaotic,not chaotic
79,Sim.1,not chaotic,not chaotic,chaotic,not chaotic
80,Sim.1,not chaotic,chaotic,not chaotic,not chaotic
81,Sim.1,chaotic,chaotic,not chaotic,not chaotic
82,Sim.1,chaotic,chaotic,not chaotic,not chaotic
83,Sim.1,chaotic,chaotic,not chaotic,not chaotic
84,Sim.1,chaotic,not chaotic,not chaotic,not chaotic
85,Sim.1,not chaotic,chaotic,chaotic,not chaotic
86,Sim.1,not chaotic,not chaotic,chaotic,not chaotic
87,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
88,Sim.1,not chaotic,not chaotic,chaotic,not chaotic
89,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
90,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
91,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
92,Sim.1,not chaotic,not chaotic,chaotic,not chaotic
93,Sim.1,chaotic,not chaotic,not chaotic,not chaotic
94,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
95,Sim.1,not chaotic,not chaotic,not chaotic,not chaotic
96,Sim.1,not chaotic,not chaotic,chaotic,not chaotic
1,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
2,Sim.2,chaotic,not chaotic,not chaotic,not chaotic
3,Sim.2,chaotic,not chaotic,not chaotic,not chaotic
4,Sim.2,not chaotic,not chaotic,not chaotic,chaotic
5,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
6,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
7,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
8,Sim.2,chaotic,not chaotic,not chaotic,chaotic
9,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
10,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
11,Sim.2,chaotic,not chaotic,not chaotic,not chaotic
12,Sim.2,chaotic,not chaotic,not chaotic,chaotic
13,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
14,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
15,Sim.2,chaotic,not chaotic,not chaotic,chaotic
16,Sim.2,chaotic,not chaotic,not chaotic,chaotic
17,Sim.2,chaotic,chaotic,not chaotic,chaotic
18,Sim.2,chaotic,chaotic,not chaotic,not chaotic
19,Sim.2,chaotic,chaotic,not chaotic,not chaotic
20,Sim.2,chaotic,chaotic,not chaotic,not chaotic
